1	100	101
2	98	100
3	96	99
4	94	98
5	92	97
6	90	96
7	88	95
8	86	94
9	84	93
10	82	92
11	80	91
12	78	90
13	76	89
14	74	88
15	72	87
16	70	86
17	68	85
18	66	84
19	64	83
20	62	82
21	60	81
22	58	80
23	56	79
24	54	78
25	52	77
26	50	76
27	48	75
28	46	74
29	44	73
30	42	72
31	40	71
32	38	70
33	36	69
34	34	68
35	32	67
36	30	66
37	28	65
38	26	64
39	24	63
40	22	62
41	20	61
42	18	60
43	16	59
44	14	58
45	12	57
46	10	56
47	8	55
48	6	54
49	4	53
50	2	52
51	0	51
52	-2	50
53	-4	49
54	-6	48
55	-8	47
56	-10	46
57	-12	45
58	-14	44
59	-16	43
60	-18	42
61	-20	41
62	-22	40
63	-24	39
64	-26	38
65	-28	37
66	-30	36
67	-32	35
68	-34	34
69	-36	33
70	-38	32
71	-40	31
72	-42	30
73	-44	29
74	-46	28
75	-48	27
76	-50	26
77	-52	25
78	-54	24
79	-56	23
80	-58	22
81	-60	21
82	-62	20
83	-64	19
84	-66	18
85	-68	17
86	-70	16
87	-72	15
88	-74	14
89	-76	13
90	-78	12
91	-80	11
92	-82	10
93	-84	9
94	-86	8
95	-88	7
96	-90	6
97	-92	5
98	-94	4
99	-96	3
100	-98	2
